Denominazione in italiano,lat,long
Castelfranco Veneto,45.6728109,11.9252448
Padova,45.4077172,11.8734455
Verona,45.4384958,10.9924122
Nogara,45.1790124,11.0637333
Cerro Veronese,45.5752921,11.0410864
Bolzano Vicentino,45.6007102,11.6221007
Isola della Scala,45.2731049,11.0068888
Ormelle,45.7791032,12.4203368
Grantorto,45.600775,11.7309556
Bassano del Grappa,45.7669109,11.7343469
Vicenza,45.5488306,11.5478825
San Donà di Piave,45.6294811,12.5641057
Belluno,46.1375185,12.2181711
Auronzo di Cadore,46.5511562,12.4430387
Mogliano Veneto,45.5612886,12.2376973
Santa Giustina in Colle,45.563698,11.906406
San Giovanni Lupatoto,45.3819685,11.0448862
Crocetta del Montello,45.8339959,12.0323268
Volpago del Montello,45.7780578,12.119815
Arzignano,45.519292,11.338594
Concordia Sagittaria,45.7561044,12.8449558
Vittorio Veneto,45.9896648,12.2964361
San Pietro di Feletto,45.9088888,12.2405948
Piovene Rocchette,45.7588257,11.4301268
Bovolone,45.2578098,11.120366
Camponogara,45.3850683,12.0721215
Pescantina,45.4833716,10.8691009
Martellago,45.5466448,12.1576784
Monastier di Treviso,45.6500759,12.4337702
Rovigo,45.0698166,11.78882
Venezia,45.4371908,12.3345898
Arsiè,45.9835021,11.7577705
Treviso,45.6658505,12.2455414
Rubano,45.4287288,11.7882736
Villafranca di Verona,45.3509277,10.8459956
Feltre,46.0163755,11.9062541
Albettone,45.3581499,11.5814745
Montebelluna,45.7759956,12.0450646
Badia Polesine,45.0940564,11.4934621
Este,45.2240069,11.659796
Borgo Valbelluna,46.0326235,12.0931858
Barbarano Mossano,45.4083415,11.5676593
Mira,39.7210593,-1.4395226
Fontanelle,45.8313331,12.4675458
Trebaseleghe,45.5918117,12.0509986
Quinto di Treviso,45.6420095,12.1498453143485
Nogarole Rocca,45.291882,10.883788
Cassola,45.7324069,11.7942558
Campodarsego,45.502855,11.9074958
Valdagno,45.6413213,11.3040596
Salzano,45.521344,12.1063704
Albignasego,45.347492,11.867209
Borgoricco,45.5335614,11.9658789
Villadose,45.0689156,11.893738
Castel d'Azzano,45.355884,10.952988
San Giovanni Ilarione,45.5240542,11.2348944
Marano di Valpolicella,45.5560474,10.9156845
Sarmede,45.9788785,12.3860885
Spinea,45.4911604,12.165018
Marano Vicentino,45.69259,11.4290346
Cesiomaggiore,46.0888165,11.9876388
Arcugnano,45.5004723,11.5356994
Roverchiara,45.2723159,11.2477997
Asigliano Veneto,45.3045125,11.446266
Torre di Mosto,45.6905428,12.7104204
Porto Tolle,44.9177128,12.4021857
Carrè,45.7483844,11.4592977
Schio,45.7113511,11.3553593
San Bonifacio,45.3956425,11.2700817
Sommacampagna,45.4077839,10.8408526
Negrar di Valpolicella,45.5296706,10.9400217
Cordignano,45.9489699,12.4160204
Casale sul Sile,45.5977665,12.3257335
San Martino di Lupari,45.6486593,11.8569804
Santa Maria di Sala,45.5050934,12.0339862
Schiavon,45.6977089,11.6442826
Enego,45.9404927,11.7096122
Povegliano Veronese,45.3483978,10.8824376
Terrazzo,45.1733088,11.398613
Vigonza,45.4429539,11.9831493
Oderzo,45.7833709,12.4937783
Monteviale,45.5605248,11.4580722
San Polo di Piave,45.7901075,12.3947754
San Stino di Livenza,45.7310782,12.6800084
Vedelago,45.6866953,12.0180367
Vigasio,45.3170303,10.9421984
Jesolo,45.5367094,12.6383337
Farra di Soligo,45.9053812,12.1254301
Mareno di Piave,45.8408562,12.3512554
Oppeano,45.3062139,11.1823399
Roncade,45.6279075,12.3747797
Due Carrare,45.2905049,11.8217529
Alpago,46.1306681,12.3548944
Mirano,45.4927695,12.1098768
Campiglia dei Berici,45.3362423,11.5394891
Cerea,45.192043,11.2129241
Noventa Padovana,45.4142322,11.9507999
Pederobba,45.8695205,11.9695508
Longare,45.4746344,11.6110489
Casaleone,45.170669,11.1993652
Sernaglia della Battaglia,45.8747312,12.1331619
Lendinara,45.0832589,11.6041641
Gambellara,45.4625095,11.3398403
Legnago,45.192498,11.3111274
Cologna Veneta,45.310287,11.384399
Masi,45.1088186,11.4919124
Romano d'Ezzelino,45.7962374,11.7583907
Vidor,30.1313283,-94.0148021
San Michele al Tagliamento,45.7651506,12.9952302
San Biagio di Callalta,45.6848725,12.3773466
Caerano di San Marco,45.785910199999996,12.0010378
Occhiobello,44.9212498,11.5813996
Paese,45.6727307,12.1536106
Tregnago,45.5139247,11.1656601
San Giorgio in Bosco,45.5918514,11.8059588
Fossò,45.3856495,12.048577
Sovramonte,46.0568239,11.7881622
Lonigo,45.3881155,11.38799
Godega di Sant'Urbano,45.9298483,12.3981101
Altivole,45.7540029,11.9553621
Cartigliano,45.7130543,11.6940642
Cittadella,45.6487941,11.7835801
Dolo,48.38102515,-2.3322827585741326
Cornuda,45.8317308,12.0076655
Castelmassa,45.0168524,11.310498
Tezze sul Brenta,45.6861778,11.7041837
Monteforte d'Alpone,45.4172539,11.2836658
Conegliano,45.8862172,12.2977566
Carbonera,45.6848378,12.2859442
Limena,45.4743763,11.8449327
Lazise,45.5052005,10.7330245
Povegliano,45.7591925,12.2085003
Albaredo d'Adige,45.3170457,11.2744882
Mozzecane,45.3099831,10.8185312
San Zenone degli Ezzelini,45.7789443,11.8405126
Valbrenta,45.8813718,11.7017643
Urbana,40.1117174,-88.207301
Santa Giustina,44.0683524,12.4838248
Follina,45.9530729,12.1181368
Rosà,45.7244163,11.7626859
Adria,45.0531228,12.0572
Borca di Cadore,46.436423,12.219598
Lavagno,45.4473983,11.1349412
Cimadolmo,45.787132,12.3616121
Pianiga,45.456095500000004,12.0301727
Maserada sul Piave,45.7494106,12.3193327
Lamon,46.0471507,11.7486325
Soave,45.4202303,11.247722
Valdobbiadene,45.9014131,11.9955123
Breda di Piave,45.7237273,12.3312346
Resana,45.6340237,11.9552929
Teolo,45.365421,11.6886055
Portogruaro,45.775598,12.8374571
Marostica,45.7453924,11.6568938
Val di Zoldo,46.3422944,12.1563125
Cinto Euganeo,45.2894673,11.6723755
Riese Pio X,45.729222300000004,11.917005
Preganziol,45.6025304,12.2353136
Loreggia,45.594524,11.9446117
Cavallino-Treporti,45.4792171,12.515257
Colceresa,45.7229193,11.6166565
Vazzola,45.8376705,12.3795417
Breganze,45.7081441,11.5647668
Sossano,45.358777,11.5100293
Montecchio Maggiore,45.5050793,11.4084448
Saonara,45.370221,11.9840665
