Region,Province,n
Emilia-Romagna,Bologna,63
Emilia-Romagna,Ferrara,18
Emilia-Romagna,Forlì-Cesena,11
Emilia-Romagna,Modena,28
Emilia-Romagna,Parma,15
Emilia-Romagna,Piacenza,14
Emilia-Romagna,Ravenna,9
Emilia-Romagna,Reggio nell'Emilia,12
Emilia-Romagna,Rimini,10
Friuli-Venezia Giulia,Gorizia,25
Friuli-Venezia Giulia,Pordenone,29
Friuli-Venezia Giulia,Trieste,16
Friuli-Venezia Giulia,Udine,42
Grigioni,Bernina,1
Grigioni,Moesa,2
Liguria,Genova,48
Liguria,Imperia,10
Liguria,La Spezia,7
Liguria,Savona,15
Lombardia,Bergamo,67
Lombardia,Brescia,59
Lombardia,Como,30
Lombardia,Cremona,16
Lombardia,Lecco,19
Lombardia,Lodi,12
Lombardia,Mantova,22
Lombardia,Milano,143
Lombardia,Monza e della Brianza,25
Lombardia,Pavia,39
Lombardia,Sondrio,17
Lombardia,Varese,36
Piemonte,Alessandria,18
Piemonte,Asti,19
Piemonte,Biella,3
Piemonte,Cuneo,38
Piemonte,Novara,24
Piemonte,Torino,173
Piemonte,Verbano-Cusio-Ossola,8
Piemonte,Vercelli,8
San Marino,NA,6
Ticino,Bellinzona,14
Ticino,Blenio,1
Ticino,Leventina,1
Ticino,Locarno,17
Ticino,Lugano,26
Ticino,Mendrisio,9
Ticino,Riviera,3
Ticino,Vallemaggia,1
Trentino-Alto Adige/Südtirol,Bolzano/Bozen,10
Trentino-Alto Adige/Südtirol,Trento,46
Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,19
Veneto,Belluno,44
Veneto,Padova,141
Veneto,Rovigo,31
Veneto,Treviso,206
Veneto,Venezia,123
Veneto,Verona,223
Veneto,Vicenza,146
