translation,Region,Province,Comune
Mo voster nona an ve la fé la pulänt tótt le stmène?,Emilia-Romagna,Bologna,Bologna
Non sono capace,Emilia-Romagna,Bologna,Bologna
Ma vostra nona la fa mia la pulenta toti li smani?,Emilia-Romagna,Bologna,Bologna
Ma la vostra nonna la 'l fa miga la pulenta ogni settimana?,Emilia-Romagna,Bologna,Bologna
ma tu nona brisa fëg la pulanta tot la setmana,Emilia-Romagna,Bologna,Bologna
Ma la toa nona non te la fa la polenta ogne setimana ,Emilia-Romagna,Bologna,Bologna
"Non sono in grado di tradurre, conosco solo qualche parola",Emilia-Romagna,Bologna,Bologna
ma tu nona non tla fa la pulenta tot la setmana,Emilia-Romagna,Bologna,Bologna
Ma la vôstra nôna la v'la fà la pulenta tótti i sâmp,Emilia-Romagna,Bologna,Bologna
Boh,Emilia-Romagna,Bologna,Bologna
Ma vosa nona non ve fa la polenta tutte le stimane?,Emilia-Romagna,Bologna,Bologna
pulenta ,Emilia-Romagna,Bologna,Borgo Tossignano
ma tu nonna at fa la polenta tode le sedmane?,Emilia-Romagna,Bologna,Camugnano
ma nona ed vueter nun fa dla polenta tot al setman?,Emilia-Romagna,Bologna,Castel Guelfo di Bologna
ma tu nona an fa la pulenta tot le settimane,Emilia-Romagna,Bologna,Castel San Pietro Terme
.,Emilia-Romagna,Bologna,Castel San Pietro Terme
Non saprei come,Emilia-Romagna,Bologna,Castel San Pietro Terme
Ma vostra non è ang la fa brise a vu etar la pulainta toti al semani?,Emilia-Romagna,Bologna,Crevalcore
non lo do,Emilia-Romagna,Bologna,Granarolo dell'Emilia
Ma tu nona un fa brisa la polenta tot le settimane?,Emilia-Romagna,Bologna,Imola
Ma vostra nona un fa al polent tot al smani,Emilia-Romagna,Bologna,Imola
zdaura,Emilia-Romagna,Bologna,Medicina
Mo vostar nona nun v'la fa la polinta toda al smaen? ,Emilia-Romagna,Bologna,Medicina
Ma vostra nona l'an fa brisa la pulenta tôt il smen? ,Emilia-Romagna,Ferrara,Argenta
Ma votra nona an la fa brisa la pulenta tot le setman?,Emilia-Romagna,Ferrara,Cento
Mà vostra nona a nav fa brisa la pùlenta tut il smæn?,Emilia-Romagna,Ferrara,Comacchio
ma a nonna da vuva un va fed a polent tutt i simon?,Emilia-Romagna,Ferrara,Ferrara
Ma tu nona n'te fa mina la pulenta tutt' le settiman?,Emilia-Romagna,Ferrara,Ferrara
ma la nona ad vualtar an va fa brisa la pulenta tute le smane?,Emilia-Romagna,Ferrara,Ferrara
non so,Emilia-Romagna,Ferrara,Ferrara
to nona ant fa brisa pa pulenta tutt'ismane?,Emilia-Romagna,Ferrara,Riva del Po
To nona la nat'fa brisa la pulenta tut il szman,Emilia-Romagna,Ferrara,Vigarano Mainarda
no,Emilia-Romagna,Forlì-Cesena,Bagno di Romagna
La vostra nona l'an la fa la polenta tot al smeni?,Emilia-Romagna,Forlì-Cesena,Borghi
""" ma la tu nona l'han faseva la polenta tot al stmeni?""",Emilia-Romagna,Forlì-Cesena,Cesena
Ma la vóstra nóna u n v la fàla la pulenta tot al stmãni?,Emilia-Romagna,Forlì-Cesena,Forlimpopoli
"""In mânma la vöstra nôna an ve la fê la pulènta tót i sêtman?""",Emilia-Romagna,Forlì-Cesena,Forlì
ma tu nonna n'te la fa a polenta tutt'e settimane,Emilia-Romagna,Forlì-Cesena,Forlì
"Ma vostra nona, an-v perpera menga la puleinta toti al stmani?",Emilia-Romagna,Modena,Castelnuovo Rangone
Mo vostra nona an fa mia la polenta tot le semane? ,Emilia-Romagna,Modena,Guiglia
boh ,Emilia-Romagna,Modena,Maranello
non lo so,Emilia-Romagna,Modena,Medolla
Ma to nonna nun ve fa la polenta ogni semana?,Emilia-Romagna,Modena,Mirandola
Non lo so,Emilia-Romagna,Modena,Modena
Ma tu Nona an al fa minga la polenta tuti al setimani?,Emilia-Romagna,Modena,Modena
Ma vostra nona a'nv fa menga la puleinta tot al smani?,Emilia-Romagna,Modena,Modena
Mo vòstra nòna la n év fà la pulèinta tótt'él stmàn?,Emilia-Romagna,Modena,Modena
Ma vostra nona an vla fa menga la puleinta tot el stmani?,Emilia-Romagna,Modena,Modena
Ma vostra nòna n'la fa brisa tòti al sman la pulèinta?,Emilia-Romagna,Modena,Modena
Ma vostra nonna AL FA la polenta TOTE le settimane?,Emilia-Romagna,Modena,Modena
Ma vostra nona nun ve la fa la pulenta tota la setimana?,Emilia-Romagna,Modena,Modena
Ma la nona non ve la fa la pulenta tot le settimane?,Emilia-Romagna,Modena,Modena
To nona n'fa menga la pulenta tot le setmane,Emilia-Romagna,Modena,Modena
non lo so ,Emilia-Romagna,Modena,Modena
La vostra nona an v'la fa brisa la polenta toti al stmani? ,Emilia-Romagna,Modena,Nonantola
non la so..,Emilia-Romagna,Modena,Pavullo nel Frignano
M,Emilia-Romagna,Parma,Compiano
Ma vostra nona nel fa Miga la polenta tutt'e l settmani ,Emilia-Romagna,Parma,Langhirano
Mo vostra nona la fala a vuetar la polenta tut al smeni?,Emilia-Romagna,Parma,Noceto
Mo vostra nona al'n v'e la fa miga la pulenta tut il stmani?,Emilia-Romagna,Parma,Parma
"Ma to nona, ant'la fa miga la polenta tutti il domani?",Emilia-Romagna,Parma,Parma
