translation,Region,Province,Comune,speak_galloit_birth
Mo vòstra nòna la n év fà la pulèinta tótt'él stmàn?,Emilia-Romagna,Modena,Modena,"Sì, lo parlo molto bene"
Mò vöstra nöna la n' u v la fa bríša la pulěñta tòti al stmân? ,Emilia-Romagna,Ravenna,Bagnacavallo,"Sì, lo parlo molto bene"
Mo vostra nona av la fala mia la poleinta tot al stmani?,Emilia-Romagna,Reggio nell'Emilia,Reggio nell'Emilia,"Sì, lo parlo molto bene"
Vuestri nona no vi prepara la polenta dutis li setemanis?,Friuli-Venezia Giulia,Udine,Pagnacco,"Sì, lo parlo molto bene"
Ma vuestre none no us fasie le polente ogni setemane?,Friuli-Venezia Giulia,Udine,Pagnacco,"Sì, lo parlo molto bene"
Ma a vostra Madonnava a no Ve fa a polenta tutte e settemañe,Liguria,Genova,Genova,"Sì, lo parlo molto bene"
A voscia nonna a vea fa a pulenta tutte e mattin?,Liguria,Savona,Loano,"Sì, lo parlo molto bene"
Ma la óstra nòna à ve la fa mia la polenta töte i setimane?,Lombardia,Bergamo,Bergamo,"Sì, lo parlo molto bene"
Ma la òsta nóna v'la fà mia la pulènta töte i setimane?,Lombardia,Bergamo,Bonate Sotto,"Sì, lo parlo molto bene"
Ma ósta nona va la fa mia la pulenta töte i setimane?,Lombardia,Bergamo,Mozzanica,"Sì, lo parlo molto bene"
Ma ostå nonå va falå miå la polentå töte le setemane?,Lombardia,Brescia,San Paolo,"Sì, lo parlo molto bene"
La to nuna la ta fa la polenta tuci i setiman,Lombardia,Como,Como,"Sì, lo parlo molto bene"
Ma voostra nona ve la faala miia la puleenta toti li stemaani,Lombardia,Cremona,Cingia de' Botti,"Sì, lo parlo molto bene"
la vostra nona ve la fa no la pulenta tut i setiman,Lombardia,Milano,Bussero,"Sì, lo parlo molto bene"
Ma la vostra nona ve la fa minga la pulenta tutt i setiman?,Lombardia,Milano,Carugate,"Sì, lo parlo molto bene"
Ma la vostra nona la va fò la pulenta tücc i sitiman?,Lombardia,Milano,Inveruno,"Sì, lo parlo molto bene"
Ma la vòstra nòna la ve fa mai la polenta tutt'i semann?,Lombardia,Milano,Milano,"Sì, lo parlo molto bene"
Ma la vossa nona av la fa no la pulenta tuti i sman?,Lombardia,Pavia,Pavia,"Sì, lo parlo molto bene"
Ma vosa nona lav fa no la pulenta tüt i setimàn?,Lombardia,Pavia,Pavia,"Sì, lo parlo molto bene"
ma la vosa nona vla fa no la pulenta tuti i smani?,Lombardia,Pavia,Pavia,"Sì, lo parlo molto bene"
Må lå vòså nònå åv lå fa nò lå puléntå tüti i smånn?,Lombardia,Pavia,Sannazzaro de' Burgondi,"Sì, lo parlo molto bene"
Ma vosa nona av la fa no la pulenta tuti i sman,Lombardia,Pavia,Sannazzaro de' Burgondi,"Sì, lo parlo molto bene"
Ma lå vòså nònå åv lå fà nò lå pulentå tüti i smån?,Lombardia,Pavia,Sannazzaro de' Burgondi,"Sì, lo parlo molto bene"
Vosa nona av la fa no l pulenta tuti i sman,Lombardia,Pavia,Sannazzaro de' Burgondi,"Sì, lo parlo molto bene"
Ma vosa nona av fa no fa la polenta tut I sman?,Lombardia,Pavia,Sannazzaro de' Burgondi,"Sì, lo parlo molto bene"
"""Må vòså nònå åv lå fà nò lå puléntå tüti i smånå?""",Lombardia,Pavia,Voghera,"Sì, lo parlo molto bene"
Ma la to nona te fa mia la pulenta tutt i setiman? ,Lombardia,Varese,Besozzo,"Sì, lo parlo molto bene"
To nona la fa nenta la pulenta tot al smaini?,Piemonte,Alessandria,Alessandria,"Sì, lo parlo molto bene"
Ma vostra nona av la fa nen la pulenta tute le smane,Piemonte,Asti,Asti,"Sì, lo parlo molto bene"
Ma la vosträ nonä a v'la fa no la pulentä tuc i smen?,Piemonte,Novara,Borgolavezzaro,"Sì, lo parlo molto bene"
Ma la vòstra nòna a vla fa mia la pulénta tüt' i smani?,Piemonte,Novara,Novara,"Sì, lo parlo molto bene"
(A Borgolavezzaro) Ma vossä nonä av la fà no la pulentä tücc i smènn?  fà,Piemonte,Novara,Novara,"Sì, lo parlo molto bene"
Ma la to nona at la fa mia la pulenta tüti i smani?,Piemonte,Novara,Novara,"Sì, lo parlo molto bene"
Ma la vostra nöna av la fà mia la pulenta tüti i smani?,Piemonte,Novara,Novara,"Sì, lo parlo molto bene"
Ma vosta nonä av la fa miä la pulentä tücc i smani?,Piemonte,Novara,Tornaco,"Sì, lo parlo molto bene"
Ma vosta nona a v'la fa nen la pulenta tute le smane? ,Piemonte,Torino,Bussoleno,"Sì, lo parlo molto bene"
Ma vustra nona au fa nin la pulenta tuti li smani? ,Piemonte,Torino,Cafasse,"Sì, lo parlo molto bene"
Ma vostra nona a v'la nen la polenta tute le smane,Piemonte,Torino,Carignano,"Sì, lo parlo molto bene"
Ma vosta nona av la fa nen la pulenta tute le smane?,Piemonte,Torino,Lanzo Torinese,"Sì, lo parlo molto bene"
Ma vostra nona a v'la fa mai la pulenta?,Piemonte,Torino,Torino,"Sì, lo parlo molto bene"
La vósta nòna l'àn  lvlá fá la pulèinta tòt al smèni?,San Marino,NA,Città di San Marino,"Sì, lo parlo molto bene"
Ma la dona la fa michia la pulenta tut i setiman?,Ticino,Locarno,Centovalli,"Sì, lo parlo molto bene"
La to' nona la fa mia la polenta tut i settiman?,Ticino,Lugano,Alto Malcantone,"Sì, lo parlo molto bene"
Ma la to nona la ta fa mia la pulenta tut i setimsn?,Ticino,Lugano,Lugano,"Sì, lo parlo molto bene"
ma  to nona no te  la fala la  polenta  tute le  setimane,Trentino-Alto Adige/Südtirol,Trento,Rovereto,"Sì, lo parlo molto bene"
ma vosa  nona no la fa la polenta  de  spess,Trentino-Alto Adige/Südtirol,Trento,Rovereto,"Sì, lo parlo molto bene"
To nona non ve fa la polenta tute le setimane?,Veneto,Belluno,Sedico,"Sì, lo parlo molto bene"
Ma ea vostra nona no ve fa ea poenta,Veneto,Padova,Este,"Sì, lo parlo molto bene"
Ma vostra nonna no ve fa a poenta tutte e settimane ,Veneto,Treviso,Vittorio Veneto,"Sì, lo parlo molto bene"
Ma vostra nona no a ve fa a poenta tute e setimane?,Veneto,Venezia,Jesolo,"Sì, lo parlo molto bene"
Ma a nona no Ve a fa a poenta tute e settimane?,Veneto,Venezia,Martellago,"Sì, lo parlo molto bene"
Ma eà vostra nona non veà fà eà poenta tute e setimane?,Veneto,Venezia,Vigonovo,"Sì, lo parlo molto bene"
To Nona non ve fala mia la polenta ogni setemana ,Veneto,Verona,Castelnuovo del Garda,"Sì, lo parlo molto bene"
Ma vostra nona ve fala mia la polenta tute le setimane?,Veneto,Verona,Colognola ai Colli,"Sì, lo parlo molto bene"
Vostra nona nó ve fala mia la polenta tute le stimane?,Veneto,Verona,Lazise,"Sì, lo parlo molto bene"
"Ma vostra nona, no ve fala mia la polenta, tute le stimane?",Veneto,Verona,Lazise,"Sì, lo parlo molto bene"
Ma to nona te fala mia la polenta tute le se,Veneto,Verona,Peschiera del Garda,"Sì, lo parlo molto bene"
To nona non te fala mia la polenta tutte le settimane,Veneto,Verona,Villafranca di Verona,"Sì, lo parlo molto bene"
Ma la vostra nona non ve la fa mia la polenta tute le stimane,Veneto,Vicenza,Cornedo Vicentino,"Sì, lo parlo molto bene"
Ma to nona no a Ve fa mia a polenta tute e setimane,Veneto,Vicenza,Vicenza,"Sì, lo parlo molto bene"
