CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,DE01_01,DE02,DE02_03,DE03,EM01,EM02,EM03,LA01,LA02_01,LA02_02,LA02_03,LA02_04,LA02_05,LA02_06,LA02_07,LA02_08,LA03,LA04,LA05,LA06,LA07_01,LA08_01,LG01,LG02,LG03,LG04,LG11,LG12,LG05,LG06,LG13,LG07,LG14,LG10,LG08_01,LG15_01,LO01,LO02,LO02s,LO03,LO04,LO05,LO09,LO06,LO07,LO07s,LO08,LO08_03,LO10,LO10s,LO11,LO11s,LU01,LU01_01,LU01_02,LU01_03,LU01_04,LU01_05,LU01_06,LU01_07,LU01_08,LU01_09,LU01_10,LU01_11,LU01_12,LU01_15,LU01_13,LU01_14,LU02,LU02_09,LU02_10,LU02_01,LU02_02,LU02_03,LU02_04,LU02_05,LU02_06,LU02_07,LU02_08,LU03,LU03_01,LU03_02,LU03_03,LU03_04,LU03_05,LU03_06,LU03_07,LU03_08,LU03_09,LU03_10,LU03_11,LU03_12,LU03_13,LU03_14,LU03_15,LU03_16,LU03_17,LU03_18,LU03_19,LU03_20,LU04,LU05,PL01,PL02,PL03,RW01,RW02,RW03,RW03_01,RW03_08,RW03_07,RW03_06,RW03_03,RW03_02,RW03_09,RW03_04,RW03_05,RW04,RW04_01,RW04_02,RW04_03,RW04_04,RW04_05,RW04_06,XT01_01,XT01_02,XT01_03,XT01_04,XT01_05,XT01_06,XT01_07,XT01_08,XT01_09,XT01_10,XT01_11,XT01_12,XT01_13,XT01_14,XT01_15,XT02,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI
150,NA,NA,main-q,interview,2023-09-05T14:44:42Z,NA,NA,NA,NA,Lavoratrice/Lavoratore,"Altre attività professionali, scientifiche e tecniche",NA,Indifferente,3,3,6,5,1,6,3,1,Sì,No,NA,NA,NA,NA,Prevalentemente in italiano,Prevalentemente in italiano,No,NA,NA,NA,Prevalentemente in italiano,NA,Così così,NA,"Sì, ma molto poco",Lo parlo raramente,Inglese,Ma to nòna at ta fa mia la pulenta töti le stimani?,No,NA,NA,NA,NA,NA,Sì,NA,1462,NA,NA,NA,NA,NA,NA,NA,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Molto spesso,Alcune volte,Per nulla offensiva,NA,NA,No,No,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,11,NA,NA,NA,7,9,6,25,20,8,33,129,23,54,NA,NA,NA,NA,NA,340,NA,2023-09-05T14:50:22Z,FALSE,FALSE,15,15,0,0,1.01
154,NA,NA,main-q,interview,2023-09-05T14:50:41Z,29,Uomo,NA,Diploma di maturità/certificato professionale,Lavoratrice/Lavoratore,"Industrie alimentari, delle bevande e del tabacco",NA,Positiva,5,5,5,5,4,7,4,5,Sì,Sì,NA,NA,NA,NA,Prevalentemente in dialetto,In italiano e in dialetto con la stessa frequenza,No,NA,NA,NA,Prevalentemente in dialetto,NA,"Sì, lo capisco molto bene",NA,"Sì, lo parlo molto bene",Lo parlo sempre,Inglese ,Ma vostra nona no ve fa a poenta ogni setimana,Sì,981,NA,Per più di 10 anni,No,NA,NA,Sì,NA,NA,NA,NA,NA,NA,NA,NA,11,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,50/50,Molto spesso,Per nulla offensiva,Del tutto,Molto,Sì,Sì,5,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,5,2,5,1,5,1,5,1,1,1,5,4,4,1,"Sì, voglio rispondere all'ulteriore quesito",48,9,27,4,NA,NA,NA,5,38,27,13,25,146,43,71,NA,NA,18,261,175,910,NA,2023-09-05T15:05:51Z,TRUE,FALSE,20,20,0,0,0.84
157,NA,NA,main-q,interview,2023-09-05T15:19:52Z,34,Uomo,NA,Laurea specialistica/magistrale,Lavoratrice/Lavoratore,Istruzione,NA,Indifferente,4,4,5,4,4,5,4,3,Sì,Indifferente,NA,NA,NA,NA,Prevalentemente in italiano,Prevalentemente in italiano,No,NA,NA,NA,Prevalentemente in italiano,"Sì, lo capisco bene","Sì, lo capisco bene","No, per niente","No, per niente",NA,Inglese,NA,Sì,1371,NA,Per 1-5 anni,No,Sì,NA,No,4116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcune volte,Poco offensiva,Del tutto,Molto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,5,3,5,1,5,3,4,1,5,5,3,1,"Sì, voglio rispondere all'ulteriore quesito",4,5,22,5,5,NA,10,3,11,23,5,53,NA,NA,78,NA,NA,12,77,152,465,NA,2023-09-05T15:27:37Z,TRUE,FALSE,20,20,0,0,1.34
158,NA,NA,main-q,interview,2023-09-05T17:05:29Z,35,Donna,NA,Diploma di maturità/certificato professionale,Lavoratrice/Lavoratore,"Commercio all’ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",NA,Indifferente,4,4,5,4,4,5,4,3,Sì,Indifferente,NA,NA,NA,NA,Prevalentemente in italiano,Prevalentemente in italiano,Sì,Prevalentemente in italiano,Prevalentemente in italiano,Non ho figli maggiorenni,NA,NA,Così così,NA,"Sì, ma molto poco",Non lo parlo mai,Inglese ,Ma la te nona la fa minga la polenta tutte le settimane?,Sì,4348,NA,Per più di 10 anni,No,NA,NA,Sì,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Molto spesso,Alcune volte,Poco offensiva,Molto,Molto,No,No,3,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,1,4,4,3,1,5,1,2,1,4,4,3,1,"Sì, voglio rispondere all'ulteriore quesito",67,4,14,4,NA,NA,NA,4,46,16,17,27,107,25,51,NA,NA,13,52,124,571,NA,2023-09-05T17:15:01Z,TRUE,FALSE,20,20,0,0,1.21
162,NA,NA,main-q,interview,2023-09-05T17:50:30Z,34,Donna,NA,Dottorato di ricerca,Lavoratrice/Lavoratore,Ricerca scientifica e sviluppo,NA,Positiva,4,4,5,6,3,5,4,3,Sì,Indifferente,NA,NA,NA,NA,Né in italiano né in dialetto,Né in italiano né in dialetto,No,NA,NA,NA,Prevalentemente in italiano,"Sì, lo capisco bene",NA,"Sì, ma molto poco",NA,Lo parlo raramente,"Inglese, romeno, tedesco, francese, yiddish",Mo voster nona an ve la fé la pulänt tótt le stmène?,Sì,435,NA,Per più di 10 anni,Sì,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Molto spesso,Spesso,Neutra,Abbastanza,Abbastanza,Sì,No,7,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,4,2,4,4,4,1,4,3,2,1,4,5,2,1,"Sì, voglio rispondere all'ulteriore quesito",23,3,24,4,5,NA,NA,3,13,30,7,93,614,33,41,NA,NA,9,40,91,1033,NA,2023-09-05T18:07:44Z,TRUE,FALSE,20,20,0,0,1.31
163,NA,NA,main-q,interview,2023-09-05T17:53:05Z,NA,NA,NA,NA,Lavoratrice/Lavoratore,Istruzione,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sì,2867,NA,Per più di 10 anni,No,NA,NA,Sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,6,22,5,NA,NA,NA,4,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,2023-09-05T17:54:36Z,FALSE,FALSE,9,9,0,0,1.25
165,NA,NA,main-q,interview,2023-09-05T17:57:06Z,26,Uomo,NA,Dottorato di ricerca,Lavoratrice/Lavoratore,Ricerca scientifica e sviluppo,NA,Positiva,3,3,5,4,3,5,4,6,Sì,Sì,NA,NA,NA,NA,Prevalentemente in italiano,Prevalentemente in italiano,No,NA,NA,NA,Prevalentemente in italiano,NA,"Sì, lo capisco bene",NA,"Sì, lo parlo bene",Lo parlo qualche volta,"Inglese, Spagnolo, Francese, Québecois",Ma vostra nona non ve fa la polenta tute le settimane?,No,-9,NA,[NA] Not answered,[NA] Not answered,NA,Sì,NA,4168,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,7,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50/50,50/50,Poco offensiva,NA,NA,Sì,No,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,8,1,NA,NA,2,4,5,14,18,6,37,268,30,73,NA,NA,10,NA,NA,523,NA,2023-09-05T18:05:49Z,FALSE,FALSE,18,18,7,7,1.39
167,NA,NA,main-q,interview,2023-09-05T18:05:15Z,38,Donna,NA,Dottorato di ricerca,Lavoratrice/Lavoratore,Istruzione,NA,Indifferente,4,4,4,4,4,4,4,4,Sì,No,NA,NA,Perché quale dialetto? Come è codificato? Insegnato da chi? Come? ,NA,Prevalentemente in italiano,Prevalentemente in italiano,No,NA,NA,NA,Prevalentemente in italiano,"Sì, lo capisco molto bene","Sì, lo capisco molto bene",Così così,Così così,Lo parlo raramente,"Tedesco, inglese, russo, francese","Dopo 20 anni in Brianza e 17 a Padova non so più cosa sia il mio dialetto, ma ok ""ma vostra nona no vea fa ea poenta tutte e seimane""",Sì,2827,NA,Per più di 10 anni,Sì,Sì,NA,No,2291,NA,NA,NA,NA,NA,NA,NA,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Molto spesso,Alcune volte,Per nulla offensiva,Abbastanza,Abbastanza,No,No,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,5,2,5,4,5,1,5,5,1,1,5,5,2,1,"Sì, voglio rispondere all'ulteriore quesito",5,30,11,3,3,NA,5,3,16,11,4,25,171,21,25,NA,43,6,31,56,469,NA,2023-09-05T18:13:04Z,TRUE,FALSE,20,20,0,0,1.83
168,NA,NA,main-q,interview,2023-09-05T19:15:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,2023-09-05T19:16:41Z,FALSE,FALSE,2,2,0,0,0.67
170,NA,NA,main-q,interview,2023-09-05T19:26:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,13,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,2023-09-05T19:26:23Z,TRUE,FALSE,6,6,0,0,1.54
