"job_sector","NACE","ISIC","job_5","job_4"
"Agricoltura, silvicoltura e pesca","A","A","Primary","Primary"
"Attività estrattiva","B","B","Primary","Primary"
"Industrie alimentari, delle bevande e del tabacco","C","C","Secondary","Secondary"
"Industrie tessili, abbigliamento, pelli e accessori","C","C","Secondary","Secondary"
"Industria del legno, della carta e stampa","C","C","Secondary","Secondary"
"Fabbricazione di coke e prodotti petroliferi raffinati Fabbricazione di sostanze e prodotti chimici","C","C","Secondary","Secondary"
"Produzione di articoli farmaceutici, chimico-medicinali e botanici","C","C","Secondary","Secondary"
"Fabbricazione e attività manifatturiere","C","C","Secondary","Secondary"
"Fornitura di energia elettrica, gas, vapore, aria condizionata, e acqua; reti fognarie.","D;E","D;E","Secondary","Secondary"
"Attività di trattamento dei rifiuti e risanamento","E","E","Secondary","Secondary"
"Costruzioni","F","F","Secondary","Secondary"
"Commercio all’ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","G","G","Tertiary","Tertiary"
"Trasporto e magazzinaggio","H","H","Tertiary","Tertiary"
"Servizi di alloggio e ristorazione","I","I","Tertiary","Tertiary"
"Editoria, audiovisivi e attività radiotelevisive","J","J","Quaternary","Quaternary/Quinary"
"Telecomunicazioni","J","J","Quaternary","Quaternary/Quinary"
"Servizi IT e altri servizi informativi","J","J","Quaternary","Quaternary/Quinary"
"Attività finanziarie e assicurative","K","K","Tertiary","Tertiary"
"Attività immobiliari(a)","L","L","Tertiary","Tertiary"
"Attività legali, contabilità, consulenza di gestione, studi di architettura e ingegneria, collaudi ed analisi tecniche","M","M","Quaternary","Quaternary/Quinary"
"Ricerca scientifica e sviluppo","M","M","Quaternary","Quaternary/Quinary"
"Altre attività professionali, scientifiche e tecniche","M","M","Quaternary","Quaternary/Quinary"
"Attività amministrative e di servizi di supporto","N","N","Tertiary","Tertiary"
"Amministrazione pubblica e difesa; assicurazione sociale obbligatoria","O","O","Quinary","Quaternary/Quinary"
"Istruzione","P","P","Quaternary","Quaternary/Quinary"
"Sanità","Q","Q","Quaternary","Quaternary/Quinary"
"Servizi alle famiglie e assistenza sociale","Q","Q","Quinary","Quaternary/Quinary"
"Attività artistiche, di intrattenimento e divertimento","R","R","Quinary","Quaternary/Quinary"
"Altre attività di servizi","S","S","Quinary","Quaternary/Quinary"
"Attività di famiglie e convivenze come datori di lavoro per personale domestico; produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze","T","T","Quinary","Quaternary/Quinary"
"Attività di organizzazioni e organismi extraterritoriali","U","U","Quinary","Quaternary/Quinary"
