code,study_sector,study_subject
001,Architettura e ingegneria edile-architettura (quinquennale) (LM-4 C.U.),"Engineering, Manufacturing & Construction"
002,Beni culturali (L-1),"Arts, Humanities & Social Sciences"
003,Biotecnologie (L-2),"Science, Mathematics & Computing"
004,Conservazione e restauro dei beni culturali (LMR/02),"Arts, Humanities & Social Sciences"
005,Diagnostica per la conservazione dei beni culturali (L-43),"Arts, Humanities & Social Sciences"
006,"Discipline delle arti figurative, della musica, dello spettacolo e della moda (L-3)","Arts, Humanities & Social Sciences"
007,Disegno industriale (L-4),"Arts, Humanities & Social Sciences"
008,Farmacia e farmacia industriale (LM-13),Health & Welfare
009,Filosofia (L-5),"Arts, Humanities & Social Sciences"
010,Geografia (L-6),"Arts, Humanities & Social Sciences"
011,Ingegneria civile e ambientale (L-7),"Engineering, Manufacturing & Construction"
012,Ingegneria dell'informazione (L-8),"Arts, Humanities & Social Sciences"
013,Ingegneria industriale (L-9),"Engineering, Manufacturing & Construction"
014,Lettere (L-10),"Arts, Humanities & Social Sciences"
015,Lingue e culture moderne (L-11),"Arts, Humanities & Social Sciences"
016,Magistrali in giurisprudenza (LMG/01),"Arts, Humanities & Social Sciences"
017,Mediazione linguistica (L-12),"Arts, Humanities & Social Sciences"
018,Medicina e chirurgia (LM-41),Health & Welfare
019,Medicina veterinaria (LM-42),Health & Welfare
020,Odontoiatria e protesi dentaria (LM-46),Health & Welfare
021,Professioni sanitarie della prevenzione (L/SNT4),Health & Welfare
022,Professioni sanitarie della riabilitazione (L/SNT2),Health & Welfare
023,Professioni sanitarie tecniche (L/SNT3),Health & Welfare
024,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica (L/SNT1)",Health & Welfare
025,Scienze biologiche (L-13),"Science, Mathematics & Computing"
026,Scienze dei servizi giuridici (L-14),"Arts, Humanities & Social Sciences"
027,Scienze del turismo (L-15),"Agriculture, Environment & Related Sciences"
028,Scienze dell'amministrazione e dell'organizzazione (L-16),"Arts, Humanities & Social Sciences"
029,Scienze dell'architettura (L-17),"Engineering, Manufacturing & Construction"
030,Scienze dell'economia e della gestione aziendale (L-18),"Arts, Humanities & Social Sciences"
031,Scienze dell'educazione e della formazione (L-19),"Arts, Humanities & Social Sciences"
032,Scienze della comunicazione (L-20),"Arts, Humanities & Social Sciences"
033,Scienze della difesa e della sicurezza (DS/1),"Engineering, Manufacturing & Construction"
034,Scienze della difesa e della sicurezza (L/DS),"Engineering, Manufacturing & Construction"
035,Scienze della formazione primaria (LM-85 bis),"Arts, Humanities & Social Sciences"
036,"Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale (L-21)","Engineering, Manufacturing & Construction"
037,Scienze delle attività motorie e sportive (L-22),Health & Welfare
038,Scienze e tecniche dell'edilizia (L-23),"Engineering, Manufacturing & Construction"
039,Scienze e tecniche psicologiche (L-24),"Arts, Humanities & Social Sciences"
040,Scienze e tecnologie agrarie e forestali (L-25),"Agriculture, Environment & Related Sciences"
041,Scienze e tecnologie alimentari (L-26),"Science, Mathematics & Computing"
042,Scienze e tecnologie chimiche (L-27),"Arts, Humanities & Social Sciences"
043,Scienze e tecnologie della navigazione (L-28),"Agriculture, Environment & Related Sciences"
044,Scienze e tecnologie farmaceutiche (L-29),"Arts, Humanities & Social Sciences"
045,Scienze e tecnologie fisiche (L-30),"Arts, Humanities & Social Sciences"
046,Scienze e tecnologie informatiche (L-31),"Arts, Humanities & Social Sciences"
047,Scienze e tecnologie per l'ambiente e la natura (L-32),"Science, Mathematics & Computing"
048,Scienze economiche (L-33),"Arts, Humanities & Social Sciences"
049,Scienze geologiche (L-34),"Arts, Humanities & Social Sciences"
050,Scienze matematiche (L-35),"Arts, Humanities & Social Sciences"
051,Scienze politiche e delle relazioni internazionali (L-36),"Arts, Humanities & Social Sciences"
052,"Scienze sociali per la cooperazione, lo sviluppo e la pace (L-37)","Arts, Humanities & Social Sciences"
053,Scienze zootecniche e tecnologie delle produzioni animali (L-38),"Agriculture, Environment & Related Sciences"
054,"Scienze, culture e politiche della gastronomia (L/GASTR)","Agriculture, Environment & Related Sciences"
055,Servizio sociale (L-39),"Arts, Humanities & Social Sciences"
056,Sociologia (L-40),"Arts, Humanities & Social Sciences"
057,Statistica (L-41),"Science, Mathematics & Computing"
058,Storia (L-42),"Arts, Humanities & Social Sciences"
101,Antropologia culturale ed etnologia (LM-1),"Arts, Humanities & Social Sciences"
102,Archeologia (LM-2),"Arts, Humanities & Social Sciences"
103,Architettura del paesaggio (LM-3),"Engineering, Manufacturing & Construction"
104,Architettura e ingegneria edile-architettura (LM-4),"Engineering, Manufacturing & Construction"
105,Archivistica e biblioteconomia (LM-5),"Arts, Humanities & Social Sciences"
106,Biologia (LM-6),"Science, Mathematics & Computing"
107,Biotecnologie agrarie (LM-7),"Science, Mathematics & Computing"
108,Biotecnologie industriali (LM-8),"Science, Mathematics & Computing"
109,"Biotecnologie mediche, veterinarie e farmaceutiche (LM-9)","Science, Mathematics & Computing"
110,Design (LM-12),"Engineering, Manufacturing & Construction"
111,Filologia moderna (LM-14),"Arts, Humanities & Social Sciences"
112,"Filologia, letterature e storia dell'antichità (LM-15)","Arts, Humanities & Social Sciences"
113,Finanza (LM-16),"Arts, Humanities & Social Sciences"
114,Fisica (LM-17),"Science, Mathematics & Computing"
115,Informatica (LM-18),"Science, Mathematics & Computing"
116,Informazione e sistemi editoriali (LM-19),"Arts, Humanities & Social Sciences"
117,Ingegneria aerospaziale e astronautica (LM-20),"Engineering, Manufacturing & Construction"
118,Ingegneria biomedica (LM-21),"Engineering, Manufacturing & Construction"
119,Ingegneria chimica (LM-22),"Science, Mathematics & Computing"
120,Ingegneria civile (LM-23),"Engineering, Manufacturing & Construction"
121,Ingegneria dei sistemi edilizi (LM-24),"Engineering, Manufacturing & Construction"
122,Ingegneria dell'automazione (LM-25),"Engineering, Manufacturing & Construction"
123,Ingegneria della sicurezza (LM-26),"Engineering, Manufacturing & Construction"
124,Ingegneria delle telecomunicazioni (LM-27),"Engineering, Manufacturing & Construction"
125,Ingegneria elettrica (LM-28),"Engineering, Manufacturing & Construction"
126,Ingegneria elettronica (LM-29),"Engineering, Manufacturing & Construction"
127,Ingegneria energetica e nucleare (LM-30),"Engineering, Manufacturing & Construction"
128,Ingegneria gestionale (LM-31),"Engineering, Manufacturing & Construction"
129,Ingegneria informatica (LM-32),"Science, Mathematics & Computing"
130,Ingegneria meccanica (LM-33),"Engineering, Manufacturing & Construction"
131,Ingegneria navale (LM-34),"Engineering, Manufacturing & Construction"
132,Ingegneria per l'ambiente e il territorio (LM-35),"Engineering, Manufacturing & Construction"
133,Lingue e letterature dell'Africa e dell'Asia (LM-36),"Arts, Humanities & Social Sciences"
134,Lingue e letterature moderne europee e americane (LM-37),"Arts, Humanities & Social Sciences"
135,Lingue moderne per la comunicazione e la cooperazione internazionale (LM-38),"Arts, Humanities & Social Sciences"
136,Linguistica (LM-39),"Arts, Humanities & Social Sciences"
137,Matematica (LM-40),"Science, Mathematics & Computing"
138,Metodologie informatiche per le discipline umanistiche (LM-43),"Arts, Humanities & Social Sciences"
139,Modellistica matematico-fisica per l'ingegneria (LM-44),"Science, Mathematics & Computing"
140,Musicologia e beni musicali (LM-45),"Arts, Humanities & Social Sciences"
141,Organizzazione e gestione dei servizi per lo sport e le attività motorie (LM-47),Health & Welfare
142,Pianificazione territoriale urbanistica e ambientale (LM-48),"Engineering, Manufacturing & Construction"
143,Progettazione e gestione dei sistemi turistici (LM-49),"Arts, Humanities & Social Sciences"
144,Programmazione e gestione dei servizi educativi (LM-50),"Arts, Humanities & Social Sciences"
145,Psicologia (LM-51),"Arts, Humanities & Social Sciences"
146,Relazioni internazionali (LM-52),"Arts, Humanities & Social Sciences"
147,Scienza e ingegneria dei materiali (LM-53),"Engineering, Manufacturing & Construction"
148,Scienze Giuridiche (LM/SC-GIUR),"Arts, Humanities & Social Sciences"
149,Scienze chimiche (LM-54),"Arts, Humanities & Social Sciences"
150,Scienze cognitive (LM-55),"Science, Mathematics & Computing"
151,Scienze dell'economia (LM-56),"Arts, Humanities & Social Sciences"
152,Scienze dell'educazione degli adulti e della formazione continua (LM-57),"Arts, Humanities & Social Sciences"
